Measure,Industry,Region,Quarter,Value,Flags
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-13",1020,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-13",2640,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-13",840,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-13",3890,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-13",460,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-13",790,
"Total filled jobs","Financial and insurance services","Otago","Mar-13",1390,
"Total filled jobs","Financial and insurance services","Total region","Mar-13",55290,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-13",5100,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-13",1280,
"Total filled jobs","Financial and insurance services","Southland","Mar-13",740,
"Total filled jobs","Financial and insurance services","Wellington","Mar-13",11170,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-13",890,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-13",1630,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-13",700,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-13",1050,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-12",3870,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-12",2470,
"Total filled jobs","Administrative and support services","Wellington","Mar-12",10890,
"Total filled jobs","Administrative and support services","Waikato","Mar-12",5190,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-12",3890,
"Total filled jobs","Administrative and support services","Northland","Mar-12",1630,
"Total filled jobs","Administrative and support services","Taranaki","Mar-12",1710,
"Total filled jobs","Administrative and support services","Gisborne","Mar-12",710,
"Total filled jobs","Administrative and support services","Total region","Mar-12",82490,
"Total filled jobs","Administrative and support services","Auckland","Mar-12",33460,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-12",4710,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-12",2670,
"Total filled jobs","Administrative and support services","Canterbury","Mar-12",10730,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-12",62980,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-12",4440,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-12",3020,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-12",10440,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-12",2020,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-12",3430,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-12",16330,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-12",1670,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-12",142500,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-12",5350,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-12",2420,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-12",1460,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-12",760,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-12",25770,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-12",25450,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-12",990,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-12",1940,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-12",1460,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-12",200,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-12",9620,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-12",630,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-12",1010,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-12",2430,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-12",830,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-12",3690,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-12",420,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-12",770,
"Total filled jobs","Financial and insurance services","Otago","Mar-12",1470,
"Total filled jobs","Financial and insurance services","Total region","Mar-12",54350,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-12",5550,
"Total filled jobs","Financial and insurance services","Southland","Mar-12",770,
"Total filled jobs","Financial and insurance services","Wellington","Mar-12",9680,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-12",1330,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-12",1710,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-12",1020,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-12",650,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-12",1080,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-11",3940,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-11",3590,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-11",2920,
"Total filled jobs","Administrative and support services","Wellington","Mar-11",11470,
"Total filled jobs","Administrative and support services","Waikato","Mar-11",5010,
"Total filled jobs","Administrative and support services","Northland","Mar-11",1500,
"Total filled jobs","Administrative and support services","Taranaki","Mar-11",1640,
"Total filled jobs","Administrative and support services","Gisborne","Mar-11",740,
"Total filled jobs","Administrative and support services","Total region","Mar-11",82240,
"Total filled jobs","Administrative and support services","Auckland","Mar-11",32230,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-11",5120,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-11",2710,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-11",62490,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-11",3050,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-11",10050,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-11",2090,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-11",3330,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-11",4370,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-11",15860,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-11",1690,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-11",141320,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-11",5500,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-11",2480,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-11",1350,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-11",810,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-11",25660,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-11",24970,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-11",1010,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-11",1950,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-11",1430,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-11",170,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-11",9430,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-11",600,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-11",970,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-11",2490,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-11",830,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-11",3580,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-11",410,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-11",750,
"Total filled jobs","Financial and insurance services","Otago","Mar-11",1410,
"Total filled jobs","Financial and insurance services","Total region","Mar-11",50680,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-11",5650,
"Total filled jobs","Financial and insurance services","Southland","Mar-11",810,
"Total filled jobs","Financial and insurance services","Wellington","Mar-11",9820,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-11",1290,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-11",940,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-11",630,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-11",1700,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-10",4200,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-10",2940,
"Total filled jobs","Administrative and support services","Wellington","Mar-10",11900,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-10",2610,
"Total filled jobs","Administrative and support services","Waikato","Mar-10",5400,
"Total filled jobs","Administrative and support services","Northland","Mar-10",1450,
"Total filled jobs","Administrative and support services","Taranaki","Mar-10",1520,
"Total filled jobs","Administrative and support services","Gisborne","Mar-10",770,
"Total filled jobs","Administrative and support services","Total region","Mar-10",78110,
"Total filled jobs","Administrative and support services","Auckland","Mar-10",29340,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-10",2300,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-10",4850,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-10",59240,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-10",3040,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-10",9810,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-10",2160,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-10",3260,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-10",4330,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-10",15480,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-10",1770,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-10",137220,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-10",5320,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-10",2480,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-10",1380,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-10",760,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-10",25360,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-10",24940,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-10",990,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-10",1900,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-10",1410,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-10",170,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-10",9190,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-10",590,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-10",990,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-10",2430,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-10",860,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-10",3760,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-10",450,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-10",800,
"Total filled jobs","Financial and insurance services","Otago","Mar-10",1500,
"Total filled jobs","Financial and insurance services","Total region","Mar-10",51160,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-10",5180,
"Total filled jobs","Financial and insurance services","Southland","Mar-10",750,
"Total filled jobs","Financial and insurance services","Wellington","Mar-10",10770,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-10",1350,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-10",970,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-10",640,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-10",1710,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-09",4280,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-09",3040,
"Total filled jobs","Administrative and support services","Wellington","Mar-09",11760,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-09",2960,
"Total filled jobs","Administrative and support services","Waikato","Mar-09",5690,
"Total filled jobs","Administrative and support services","Northland","Mar-09",1480,
"Total filled jobs","Administrative and support services","Taranaki","Mar-09",1570,
"Total filled jobs","Administrative and support services","Gisborne","Mar-09",720,
"Total filled jobs","Administrative and support services","Total region","Mar-09",81800,
"Total filled jobs","Administrative and support services","Auckland","Mar-09",31520,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-09",2460,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-09",4820,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-09",61530,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-09",3110,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-09",9800,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-09",2320,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-09",3460,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-09",4590,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-09",15860,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-09",1850,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-09",141310,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-09",5260,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-09",2600,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-09",1360,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-09",830,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-09",25850,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-09",25500,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-09",1030,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-09",1840,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-09",1430,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-09",170,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-09",9490,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-09",590,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-09",980,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-09",2580,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-09",960,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-09",3730,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-09",480,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-09",870,
"Total filled jobs","Financial and insurance services","Otago","Mar-09",1610,
"Total filled jobs","Financial and insurance services","Total region","Mar-09",51840,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-09",5580,
"Total filled jobs","Financial and insurance services","Southland","Mar-09",780,
"Total filled jobs","Financial and insurance services","Wellington","Mar-09",10430,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-09",1320,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-09",960,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-09",690,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-09",1900,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-08",3950,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-08",2950,
"Total filled jobs","Administrative and support services","Wellington","Mar-08",13800,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-08",3000,
"Total filled jobs","Administrative and support services","Waikato","Mar-08",6600,
"Total filled jobs","Administrative and support services","Northland","Mar-08",1490,
"Total filled jobs","Administrative and support services","Taranaki","Mar-08",1290,
"Total filled jobs","Administrative and support services","Gisborne","Mar-08",700,
"Total filled jobs","Administrative and support services","Total region","Mar-08",88740,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-08",4640,
"Total filled jobs","Administrative and support services","Auckland","Mar-08",35050,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-08",2460,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-08",63060,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-08",3150,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-08",9960,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-08",2540,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-08",3180,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-08",4600,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-08",15840,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-08",2080,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-08",143150,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-08",5800,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-08",2400,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-08",770,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-08",25800,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-08",1320,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-08",27120,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-08",1020,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-08",2100,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-08",1650,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-08",180,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-08",9930,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-08",590,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-08",1030,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-08",2870,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-08",950,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-08",4040,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-08",460,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-08",970,
"Total filled jobs","Financial and insurance services","Otago","Mar-08",1660,
"Total filled jobs","Financial and insurance services","Total region","Mar-08",51700,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-08",5960,
"Total filled jobs","Financial and insurance services","Southland","Mar-08",830,
"Total filled jobs","Financial and insurance services","Wellington","Mar-08",9620,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-08",1520,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-08",1000,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-08",660,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-08",1910,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-07",4010,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-07",3080,
"Total filled jobs","Administrative and support services","Wellington","Mar-07",12650,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-07",3140,
"Total filled jobs","Administrative and support services","Waikato","Mar-07",7010,
"Total filled jobs","Administrative and support services","Northland","Mar-07",1370,
"Total filled jobs","Administrative and support services","Taranaki","Mar-07",1280,
"Total filled jobs","Administrative and support services","Gisborne","Mar-07",590,
"Total filled jobs","Administrative and support services","Total region","Mar-07",87590,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-07",4520,
"Total filled jobs","Administrative and support services","Auckland","Mar-07",35970,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-07",2320,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-07",60770,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-07",2870,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-07",9060,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-07",2310,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-07",3070,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-07",4220,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-07",15000,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-07",1580,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-07",136490,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-07",5670,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-07",2390,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-07",670,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-07",24850,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-07",1330,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-07",27260,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-07",1010,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-07",1960,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-07",1590,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-07",190,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-07",10220,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-07",670,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-07",1000,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-07",2860,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-07",920,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-07",4090,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-07",460,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-07",960,
"Total filled jobs","Financial and insurance services","Otago","Mar-07",1590,
"Total filled jobs","Financial and insurance services","Total region","Mar-07",48430,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-07",5270,
"Total filled jobs","Financial and insurance services","Southland","Mar-07",810,
"Total filled jobs","Financial and insurance services","Wellington","Mar-07",9480,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-07",1380,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-07",1000,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-07",720,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-07",1730,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-06",4530,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-06",2670,
"Total filled jobs","Administrative and support services","Wellington","Mar-06",12560,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-06",2780,
"Total filled jobs","Administrative and support services","Waikato","Mar-06",6450,
"Total filled jobs","Administrative and support services","Auckland","Mar-06",34610,
"Total filled jobs","Administrative and support services","Northland","Mar-06",1320,
"Total filled jobs","Administrative and support services","Taranaki","Mar-06",1140,
"Total filled jobs","Administrative and support services","Gisborne","Mar-06",630,
"Total filled jobs","Administrative and support services","Total region","Mar-06",84460,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-06",4240,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-06",2460,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-06",60540,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-06",2680,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-06",8830,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-06",2020,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-06",2870,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-06",4010,
"Total filled jobs","Professional, scientific, and technical services","Canterbury","Mar-06",14760,
"Total filled jobs","Professional, scientific, and technical services","Southland","Mar-06",1440,
"Total filled jobs","Professional, scientific, and technical services","Total region","Mar-06",134520,
"Total filled jobs","Professional, scientific, and technical services","Bay of Plenty","Mar-06",5330,
"Total filled jobs","Professional, scientific, and technical services","Taranaki","Mar-06",2380,
"Total filled jobs","Professional, scientific, and technical services","Gisborne","Mar-06",610,
"Total filled jobs","Professional, scientific, and technical services","Wellington","Mar-06",24530,
"Total filled jobs","Rental, hiring, and real estate services","Otago","Mar-06",1220,
"Total filled jobs","Rental, hiring, and real estate services","Total region","Mar-06",26610,
"Total filled jobs","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-06",950,
"Total filled jobs","Rental, hiring, and real estate services","Waikato","Mar-06",1880,
"Total filled jobs","Rental, hiring, and real estate services","Bay of Plenty","Mar-06",1550,
"Total filled jobs","Rental, hiring, and real estate services","Gisborne","Mar-06",170,
"Total filled jobs","Rental, hiring, and real estate services","Auckland","Mar-06",9790,
"Total filled jobs","Rental, hiring, and real estate services","Taranaki","Mar-06",610,
"Total filled jobs","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-06",1070,
"Total filled jobs","Rental, hiring, and real estate services","Wellington","Mar-06",2900,
"Total filled jobs","Rental, hiring, and real estate services","Hawke's Bay","Mar-06",920,
"Total filled jobs","Rental, hiring, and real estate services","Canterbury","Mar-06",4080,
"Total filled jobs","Rental, hiring, and real estate services","Southland","Mar-06",590,
"Total filled jobs","Rental, hiring, and real estate services","Northland","Mar-06",870,
"Total filled jobs","Financial and insurance services","Otago","Mar-06",1480,
"Total filled jobs","Financial and insurance services","Total region","Mar-06",45700,
"Total filled jobs","Financial and insurance services","Canterbury","Mar-06",4900,
"Total filled jobs","Financial and insurance services","Southland","Mar-06",750,
"Total filled jobs","Financial and insurance services","Wellington","Mar-06",8770,
"Total filled jobs","Financial and insurance services","Manawatu-Wanganui","Mar-06",1300,
"Total filled jobs","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-06",970,
"Total filled jobs","Financial and insurance services","Taranaki","Mar-06",660,
"Total filled jobs","Financial and insurance services","Bay of Plenty","Mar-06",1740,
"Total filled jobs","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-05",4480,
"Total filled jobs","Administrative and support services","Hawke's Bay","Mar-05",2850,
"Total filled jobs","Administrative and support services","Wellington","Mar-05",13420,
"Total filled jobs","Administrative and support services","Manawatu-Wanganui","Mar-05",3560,
"Total filled jobs","Administrative and support services","Waikato","Mar-05",5390,
"Total filled jobs","Administrative and support services","Auckland","Mar-05",35870,
"Total filled jobs","Administrative and support services","Northland","Mar-05",1320,
"Total filled jobs","Administrative and support services","Taranaki","Mar-05",1220,
"Total filled jobs","Administrative and support services","Gisborne","Mar-05",760,
"Total filled jobs","Administrative and support services","Total region","Mar-05",87280,
"Total filled jobs","Administrative and support services","Bay of Plenty","Mar-05",3730,
"Total filled jobs","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-05",2320,
"Total filled jobs","Professional, scientific, and technical services","Auckland","Mar-05",56070,
"Total filled jobs","Professional, scientific, and technical services","Waikato","Mar-05",9250,
"Total filled jobs","Professional, scientific, and technical services","Northland","Mar-05",1920,
"Total filled jobs","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-05",2710,
"Total filled jobs","Professional, scientific, and technical services","Hawke's Bay","Mar-05",2690,
"Total filled jobs","Professional, scientific, and technical services","Otago","Mar-05",3690,
